Palavra_correta,palavra_inicial,N_de_tentativas,Chutes,Vitoria
visor,serao,3,"('serao', 'ritos', 'visor')",True
abrir,serao,3,"('serao', 'abril', 'abrir')",True
dedao,serao,3,"('serao', 'telao', 'dedao')",True
bazar,serao,5,"('serao', 'citar', 'lunar', 'ambar', 'bazar')",True
gerir,serao,3,"('serao', 'cerne', 'gerir')",True
mania,serao,3,"('serao', 'cinta', 'mania')",True
turno,serao,3,"('serao', 'turco', 'turno')",True
anoes,serao,3,"('serao', 'acoes', 'anoes')",True
sexto,serao,2,"('serao', 'sexto')",True
palma,serao,4,"('serao', 'cinta', 'pluma', 'palma')",True
parco,serao,3,"('serao', 'parto', 'parco')",True
pouso,serao,4,"('serao', 'nisto', 'pulso', 'pouso')",True
moela,serao,3,"('serao', 'poeta', 'moela')",True
otico,serao,3,"('serao', 'cinto', 'otico')",True
aries,serao,2,"('serao', 'aries')",True
tenor,serao,2,"('serao', 'tenor')",True
amido,serao,5,"('serao', 'laico', 'apito', 'animo', 'amido')",True
solar,serao,2,"('serao', 'solar')",True
poste,serao,2,"('serao', 'poste')",True
urubu,serao,3,"('serao', 'punir', 'urubu')",True
coisa,serao,2,"('serao', 'coisa')",True
seara,serao,2,"('serao', 'seara')",True
xampu,serao,4,"('serao', 'cinta', 'album', 'xampu')",True
dieta,serao,3,"('serao', 'etica', 'dieta')",True
rocha,serao,4,"('serao', 'loira', 'rouca', 'rocha')",True
turma,serao,3,"('serao', 'abril', 'turma')",True
paiol,serao,3,"('serao', 'otica', 'paiol')",True
vilao,serao,3,"('serao', 'licao', 'vilao')",True
nivel,serao,3,"('serao', 'clipe', 'nivel')",True
pouca,serao,4,"('serao', 'otica', 'louca', 'pouca')",True
vinil,serao,4,"('serao', 'futil', 'civil', 'vinil')",True
frade,serao,4,"('serao', 'trela', 'grade', 'frade')",True
tonto,serao,5,"('serao', 'cinto', 'junto', 'ponto', 'tonto')",True
cavar,serao,4,"('serao', 'citar', 'calar', 'cavar')",True
lilas,serao,3,"('serao', 'dicas', 'lilas')",True
nariz,serao,4,"('serao', 'abril', 'guria', 'nariz')",True
torre,serao,4,"('serao', 'norte', 'torpe', 'torre')",True
parar,serao,4,"('serao', 'viral', 'curar', 'parar')",True
supor,serao,2,"('serao', 'supor')",True
gamba,serao,4,"('serao', 'cinta', 'pluma', 'gamba')",True
cravo,serao,3,"('serao', 'traco', 'cravo')",True
arduo,serao,4,"('serao', 'traco', 'arido', 'arduo')",True
tosca,serao,3,"('serao', 'coisa', 'tosca')",True
clima,serao,3,"('serao', 'cinta', 'clima')",True
sosia,serao,2,"('serao', 'sosia')",True
chato,serao,3,"('serao', 'laico', 'chato')",True
moita,serao,3,"('serao', 'otica', 'moita')",True
vagar,serao,6,"('serao', 'citar', 'lunar', 'ambar', 'pagar', 'vagar')",True
pausa,serao,5,"('serao', 'mista', 'blusa', 'causa', 'pausa')",True
truta,serao,5,"('serao', 'latir', 'gruta', 'fruta', 'truta')",True
podar,serao,5,"('serao', 'lotar', 'boiar', 'pomar', 'podar')",True
fucar,serao,3,"('serao', 'citar', 'fucar')",True
posar,serao,3,"('serao', 'tosar', 'posar')",True
autor,serao,3,"('serao', 'loira', 'autor')",True
cruel,serao,3,"('serao', 'tripe', 'cruel')",True
quica,serao,3,"('serao', 'cinta', 'quica')",True
aviao,serao,4,"('serao', 'licao', 'uniao', 'aviao')",True
retro,serao,4,"('serao', 'reino', 'recuo', 'retro')",True
dores,serao,3,"('serao', 'euros', 'dores')",True
credo,serao,3,"('serao', 'treco', 'credo')",True
hinos,serao,6,"('serao', 'mitos', 'lidos', 'pinos', 'finos', 'hinos')",True
capim,serao,3,"('serao', 'cinta', 'capim')",True
tango,serao,4,"('serao', 'laico', 'manto', 'tango')",True
voces,serao,4,"('serao', 'poste', 'doces', 'voces')",True
jurar,serao,6,"('serao', 'viral', 'curar', 'durar', 'furar', 'jurar')",True
raiar,serao,6,"('serao', 'citar', 'impar', 'guiar', 'aliar', 'vaiar')",False
vasos,serao,6,"('serao', 'coisa', 'altos', 'panos', 'magos', 'dados')",False
jorro,serao,6,"('serao', 'turco', 'lirio', 'morno', 'bordo', 'gorro')",False
ninja,serao,6,"('serao', 'cinta', 'linda', 'pinga', 'minha', 'ninfa')",False
gozar,serao,6,"('serao', 'lotar', 'boiar', 'pomar', 'focar', 'rodar')",False
fofas,serao,6,"('serao', 'molas', 'todas', 'copas', 'joias', 'novas')",False
rocar,serao,6,"('serao', 'lotar', 'boiar', 'pomar', 'focar', 'cocar')",False
rimar,serao,5,"('serao', 'citar', 'pilar', 'ninar', 'mimar')",False
zonas,serao,6,"('serao', 'molas', 'todas', 'copas', 'joias', 'novas')",False
jogar,serao,6,"('serao', 'lotar', 'boiar', 'pomar', 'focar', 'rodar')",False
